Date,JPY
1/7/2019,108.7
1/8/2019,108.73
1/9/2019,108.16
1/10/2019,108.42
1/11/2019,108.54
1/14/2019,108.16
1/15/2019,108.66
1/16/2019,109.08
1/17/2019,109.23
1/18/2019,109.76
1/21/2019,109.66
1/22/2019,109.36
1/23/2019,109.59
1/24/2019,109.63
1/25/2019,109.53
1/28/2019,109.34
1/29/2019,109.38
1/30/2019,109.02
1/31/2019,108.87
2/1/2019,109.48
2/4/2019,109.88
2/5/2019,109.96
2/6/2019,109.96
2/7/2019,109.8
2/8/2019,109.72
2/11/2019,110.36
2/12/2019,110.48
2/13/2019,110.99
2/14/2019,110.47
2/15/2019,110.48
2/18/2019,110.6
2/19/2019,110.61
2/20/2019,110.85
2/21/2019,110.69
2/22/2019,110.68
2/25/2019,111.06
2/26/2019,110.57
2/27/2019,110.98
2/28/2019,111.37
3/1/2019,111.9
3/4/2019,111.74
3/5/2019,111.89
3/6/2019,111.75
3/7/2019,111.58
3/8/2019,111.15
3/11/2019,111.19
3/12/2019,111.35
3/13/2019,111.15
3/14/2019,111.7
3/15/2019,111.45
3/18/2019,111.42
3/19/2019,111.37
3/20/2019,110.68
3/21/2019,110.8
3/22/2019,109.91
3/25/2019,109.95
3/26/2019,110.62
3/27/2019,110.51
3/28/2019,110.62
3/29/2019,110.84
4/1/2019,111.34
4/2/2019,111.31
4/3/2019,111.47
4/4/2019,111.65
4/5/2019,111.73
4/8/2019,111.47
4/9/2019,111.12
4/10/2019,111
4/11/2019,111.65
4/12/2019,112.02
4/15/2019,112.03
4/16/2019,111.99
4/17/2019,112.05
4/18/2019,111.96
4/19/2019,111.91
4/22/2019,111.93
4/23/2019,111.86
4/24/2019,112.17
4/25/2019,111.62
4/26/2019,111.58
4/29/2019,111.63
4/30/2019,111.41
5/1/2019,111.37
5/2/2019,111.5
5/3/2019,111.09
5/6/2019,110.76
5/7/2019,110.24
5/8/2019,110.1
5/9/2019,109.75
5/10/2019,109.94
5/13/2019,109.3
5/14/2019,109.59
5/15/2019,109.58
5/16/2019,109.84
5/17/2019,110.07
5/20/2019,110.05
5/21/2019,110.49
5/22/2019,110.34
5/23/2019,109.59
5/24/2019,109.29
5/27/2019,109.5
5/28/2019,109.36
5/29/2019,109.58
5/30/2019,109.6
5/31/2019,108.26
6/3/2019,108.06
6/4/2019,108.14
6/5/2019,108.45
6/6/2019,108.4
6/7/2019,108.18
6/10/2019,108.43
6/11/2019,108.5
6/12/2019,108.49
6/13/2019,108.37
6/14/2019,108.55
6/17/2019,108.55
6/18/2019,108.44
6/19/2019,108.09
6/20/2019,107.29
6/21/2019,107.3
6/24/2019,107.28
6/25/2019,107.17
6/26/2019,107.77
6/27/2019,107.78
6/28/2019,107.88
7/1/2019,108.43
7/2/2019,107.88
7/3/2019,107.82
