Date,EURO
8/27/1997,0.9208
8/28/1997,0.9145
8/29/1997,0.9191
9/1/1997,0.9231
9/2/1997,0.9335
9/3/1997,0.9276
9/4/1997,0.9263
9/5/1997,0.9201
9/8/1997,0.9224
9/9/1997,0.9235
9/10/1997,0.918
9/11/1997,0.9105
9/12/1997,0.9032
9/15/1997,0.8993
9/16/1997,0.9024
9/17/1997,0.9026
9/18/1997,0.9049
9/19/1997,0.904
9/22/1997,0.913
9/23/1997,0.914
9/24/1997,0.9033
9/25/1997,0.8996
9/26/1997,0.899
9/29/1997,0.8984
9/30/1997,0.8998
10/1/1997,0.9056
10/2/1997,0.9028
10/3/1997,0.8981
10/6/1997,0.8982
10/7/1997,0.8963
10/8/1997,0.8937
10/9/1997,0.8894
10/10/1997,0.8938
10/13/1997,0.8929
10/14/1997,0.8941
10/15/1997,0.8915
10/16/1997,0.8895
10/17/1997,0.9009
10/20/1997,0.9011
10/21/1997,0.9083
10/22/1997,0.9065
10/23/1997,0.9006
10/24/1997,0.9036
10/27/1997,0.8934
10/28/1997,0.882
10/29/1997,0.8824
10/30/1997,0.8762
10/31/1997,0.8767
11/3/1997,0.8828
11/4/1997,0.8754
11/5/1997,0.8743
11/6/1997,0.8751
11/7/1997,0.8677
11/10/1997,0.8682
11/11/1997,0.869
11/12/1997,0.8734
11/13/1997,0.8757
11/14/1997,0.8782
11/17/1997,0.8791
11/18/1997,0.8765
11/19/1997,0.879
11/20/1997,0.8799
11/21/1997,0.8842
11/24/1997,0.8811
11/25/1997,0.8863
11/26/1997,0.8933
11/27/1997,0.8955
11/28/1997,0.8949
12/1/1997,0.9013
12/2/1997,0.901
12/3/1997,0.8979
12/4/1997,0.8982
12/5/1997,0.9042
12/8/1997,0.9076
12/9/1997,0.9099
12/10/1997,0.9059
12/11/1997,0.8973
12/12/1997,0.9018
12/15/1997,0.9017
12/16/1997,0.9065
12/17/1997,0.9015
12/18/1997,0.9011
12/19/1997,0.9001
12/22/1997,0.9044
12/23/1997,0.9013
12/24/1997,0.9008
12/29/1997,0.9076
12/30/1997,0.9093
12/31/1997,0.9135
1/2/1998,0.9166
1/5/1998,0.9257
1/6/1998,0.9278
1/7/1998,0.9275
1/8/1998,0.925
1/9/1998,0.9262
1/12/1998,0.9258
1/13/1998,0.9255
1/14/1998,0.9265
1/15/1998,0.9306
1/16/1998,0.9303
1/19/1998,0.933
1/20/1998,0.9345
1/21/1998,0.9275
1/22/1998,0.9179
1/23/1998,0.9058
1/26/1998,0.9119
1/27/1998,0.911
1/28/1998,0.921
1/29/1998,0.929
1/30/1998,0.931
2/2/1998,0.9259
2/3/1998,0.9238
2/4/1998,0.9185
2/5/1998,0.9104
2/6/1998,0.9169
2/9/1998,0.9246
2/10/1998,0.9209
2/11/1998,0.9259
2/12/1998,0.9204
2/13/1998,0.9262
2/16/1998,0.9243
2/17/1998,0.9279
2/18/1998,0.9254
2/19/1998,0.9253
2/20/1998,0.9258
2/23/1998,0.9141
2/24/1998,0.9151
2/25/1998,0.9225
2/26/1998,0.9223
2/27/1998,0.9233
3/2/1998,0.9214
3/3/1998,0.9194
3/4/1998,0.9241
3/5/1998,0.9305
3/6/1998,0.9309
3/9/1998,0.9284
3/10/1998,0.9295
3/11/1998,0.9311
3/12/1998,0.9278
3/13/1998,0.9223
3/16/1998,0.9237
3/17/1998,0.922
3/18/1998,0.9266
3/19/1998,0.9278
3/20/1998,0.9293
3/23/1998,0.9261
3/24/1998,0.9278
3/25/1998,0.9268
3/26/1998,0.9239
3/27/1998,0.9267
3/30/1998,0.9357
3/31/1998,0.9367
4/1/1998,0.9381
4/2/1998,0.9387
4/3/1998,0.9374
4/6/1998,0.9343
4/7/1998,0.9322
4/8/1998,0.9235
4/9/1998,0.9245
4/14/1998,0.9158
4/15/1998,0.9139
4/16/1998,0.9169
4/17/1998,0.9177
4/20/1998,0.9152
4/21/1998,0.9103
4/22/1998,0.9117
4/23/1998,0.9143
4/24/1998,0.912
4/27/1998,0.9099
4/28/1998,0.9127
4/29/1998,0.9125
4/30/1998,0.9124
5/1/1998,0.9058
5/5/1998,0.9013
5/6/1998,0.8988
5/7/1998,0.8995
5/8/1998,0.9016
5/11/1998,0.9052
5/12/1998,0.9046
5/13/1998,0.9065
5/14/1998,0.9059
5/15/1998,0.9085
5/18/1998,0.9106
5/19/1998,0.9086
5/20/1998,0.902
5/21/1998,0.8964
5/22/1998,0.8956
5/26/1998,0.9023
5/27/1998,0.9077
5/28/1998,0.9061
5/29/1998,0.9089
6/1/1998,0.9063
6/2/1998,0.9069
6/3/1998,0.9017
6/4/1998,0.8997
6/5/1998,0.9032
6/8/1998,0.9056
6/9/1998,0.906
6/10/1998,0.9144
6/11/1998,0.9197
6/12/1998,0.9181
6/15/1998,0.9214
6/16/1998,0.9145
6/17/1998,0.9094
6/18/1998,0.9105
6/19/1998,0.9076
6/22/1998,0.9119
6/23/1998,0.9154
6/24/1998,0.9152
6/25/1998,0.9127
6/26/1998,0.9193
6/29/1998,0.9202
6/30/1998,0.9175
7/1/1998,0.9234
7/2/1998,0.9248
7/3/1998,0.9241
7/6/1998,0.9199
7/7/1998,0.9218
7/8/1998,0.924
7/9/1998,0.9288
7/10/1998,0.9238
7/13/1998,0.916
7/14/1998,0.9157
7/15/1998,0.9161
7/16/1998,0.9101
7/17/1998,0.9093
7/20/1998,0.9058
7/21/1998,0.9092
7/22/1998,0.9106
7/23/1998,0.9108
7/24/1998,0.9052
7/27/1998,0.9078
7/28/1998,0.9024
7/29/1998,0.9026
7/30/1998,0.9055
7/31/1998,0.9053
8/3/1998,0.9091
8/4/1998,0.9053
8/5/1998,0.9023
8/6/1998,0.902
8/7/1998,0.9039
8/10/1998,0.906
8/11/1998,0.9071
8/12/1998,0.9038
8/13/1998,0.9084
8/14/1998,0.9158
8/17/1998,0.9136
8/18/1998,0.9162
8/19/1998,0.916
8/20/1998,0.9156
8/21/1998,0.9146
8/24/1998,0.9138
8/25/1998,0.9153
8/26/1998,0.9191
8/27/1998,0.9173
8/28/1998,0.9016
9/1/1998,0.8915
9/2/1998,0.8909
